カテゴリー,問題番号,,選択肢,正解,解説
通関業法（通関業の許可）,53-12-3,通関業者の通関業務に従事する通関士及びその他の通関業務の従業者が情報通信機器を活用して、労働時間の全部又は一部において、自宅で通関業務に従事する勤務形態(在宅勤務)を導入する場合においては、当該勤務場所(自宅)は当該従業者の所属する営業所の一部となることとされており、当該勤務場所について通関業法第8条に規定する営業所の新設に係る手続は要しない。,○×,○,業法基本通達8-1にその通りの規定がある。
通関業法（通関業の許可）,53-12-4,認定通関業者である通関業者が通関業務を行う営業所を新たに設けようとするときは、当該営業所の名称及び所在地を記載した許可申請書を財務大臣に提出し許可を受けなければならない。,○×,×,認定通関業者が通関業務を行う営業所を新たに設けようとする場合には、財務大臣への届出をすればよく、この届出が受理された時に許可を受けたとみなされる(業法9条)。
通関業法（通関業の許可）,53-12-5,財務大臣が通関業者に対する監督処分として通関業の許可を取り消した場合において、現に進行中の通関手続があるときは、当該手続については、当該許可を受けていた者が引き続き当該許可を受けているものとみなすこととされている。,○×,×,許可の消滅の場合はこのような規定があるが(業法10条1項、3項)、許可の取消しにはこの規定は適用されない(基本通達10-1)。ちなみに、許可の取消しの場合は、この場合には、その手続を依頼者に返戻(へんれい。戻すこと。)するか又は依頼者の指示する通関業者に引き継がせることとなる(基本通達10-1)。
通関業法（通関業の許可）,53-13-1,通関業者である法人が合併により解散し、その通関業の許可が消滅した場合には、当該法人を代表する役員であった者が、遅滞なくその旨を財務大臣に届け出なければならない。,○×,○,通関業者である法人が合併により解散し、その通関業の許可が消滅した場合には、当該法人を代表する役員であった者が、遅滞なくその旨を財務大臣に届け出なければならない(業法12条3号、10条1項4号、施行令4条4号)。
通関業法（通関業の許可）,53-13-2,通関業者が破産手続開始の決定を受け、その通関業の許可が消滅した場合において、現に進行中の通関手続があるときは、当該手続については、破産管財人が引き続き当該許可を受けているものとみなす。,○×,×,「破産管財人」ではなく「当該許可を受けていた者」が引き続き当該許可を受けているものとみなされる(業法第10条3項)。
通関業法（通関業の許可）,53-13-3,通関業者が偽りその他不正の手段により通関業の許可を受けたことが判明したときは、その通関業の許可は消滅する。,○×,×,通関業者が偽りその他不正の手段により通関業の許可を受けたことが判明したときは、財務大臣が許可を取り消すことができるとされているのであり、許可が勝手に消滅するのではない(業法11条1項1号)。
通関業法（通関業の許可）,53-13-4,通関業者である法人が合併により解散し、その通関業の許可が消滅した場合において、現に進行中の通関手続があるときは、当該手続については、当該法人を代表する役員であった者が引き続き当該許可を受けているものとみなす。,○×,×,「当該法人を代表する役員であった者」ではなく「合併後存続する法人又は合併により設立された法人」が引き続き当該許可を受けているものとみなされる(業法第10条3項)。
通関業法（通関業の許可）,53-13-5,通関業者が関税法第111条(許可を受けないで輸出入する等の罪)の規定に該当する違反行為をして同法の規定により通告処分を受けた者に該当するに至ったときは、その通関業の許可は消滅する。,○×,×,許可を取り消すことはできるが(業法11条1項2号、6条4号イ)、勝手に消滅するわけではない。
通関業法（通関業の許可）,53-14-1,通関業者は、氏名又は名称及び住所並びに法人である通関業者にあってはその役員の氏名及び住所に変更があった場合には、遅滞なくその旨を財務大臣に届け出なければならない。,○×,○,通関業者は、氏名又は名称及び住所並びに法人である通関業者にあってはその役員の氏名及び住所に変更があった場合には、遅滞なくその旨を財務大臣に届け出なければならない(業法12条1号、4条1項1号)。
通関業法（通関業の許可）,53-14-2,通関業者は、通関業務を行う営業所の名称及び所在地に変更があった場合には、遅滞なくその旨を財務大臣に届け出なければならない。,○×,○,通関業者は、通関業務を行う営業所の名称及び所在地に変更があった場合には、遅滞なくその旨を財務大臣に届け出なければならない(業法12条1号、4条1項2号)。
通関業法（通関業の許可）,53-14-3,通関業者は、通関業務を行う営業所ごとの責任者の氏名及び通関業法第13条の規定により置く通関士の数に変更があった場合には、遅滞なくその旨を財務大臣に届け出なければならない。,○×,○,通関業者は、通関業務を行う営業所ごとの責任者の氏名及び通関業法第13条の規定により置く通関士の数に変更があった場合には、遅滞なくその旨を財務大臣に届け出なければならない(業法12条1号、4条1項3号)。
通関業法（通関業の許可）,53-14-4,通関業者は、通関業以外に営む事業の種類に変更があった場合には、遅滞なくその旨を財務大臣に届け出なければならない。,○×,○,通関業者は、通関業以外に営む事業の種類に変更があった場合には、遅滞なくその旨を財務大臣に届け出なければならない(業法12条1号、4条1項5号)。
通関業法（通関業の許可）,53-14-5,通関業者である法人が合併又は破産手続開始の決定以外の理由により解散し、その通関業の許可が消滅した場合には、清算人は、遅滞なくその旨を財務大臣に届け出なければならない。,○×,○,通関業者である法人が合併又は破産手続開始の決定以外の理由により解散し、その通関業の許可が消滅した場合には、清算人は、遅滞なくその旨を財務大臣に届け出なければならない(業法12条3号、施行令4条5号)。ちなみに、合併又は破産手続開始の決定以外の理由による解散とは、例えばその通関業者が株式会社なら株主総会の決議がある(会社法471条3号)。株主が株主総会で、もうしんどいから解散するわ！と決めたら解散するのである。（もちろん解散の理由は様々である。）
通関業法（行政処分）,53-15-1,財務大臣は、通関業者が通関士を置かなければならないこととされる営業所に通関士を置かない場合には、その理由にかかわらず、当該通関業者に対する監督処分を行うことができる。,○×,×,業法34条1項1号、13条によると、財務大臣は、通関業者が通関士を置かなければならないこととされる営業所に通関士を置かない場合には、当該通関業者に対する監督処分を行うことができるとされる。しかし、監督処分が「その理由にかかわらず」できるのかと言えばそうではない。通関士試験の範囲を超えているので問題の質に疑問はあるが、行政権濫用と呼ばれる法理論が存在し、財務大臣のような行政の行う処分は、法令通達上可能とされていればどんな場合でも出来るとは限らない。個別事情を見て、処分をすることがあまりにも理不尽な場合は違法な処分となることがある。
通関業法（通関業者・通関士の義務）,53-15-2,通関業者は、通関士を置かなければならないこととされる営業所ごとに、通関業務に係る貨物の数量及び種類並びに通関書類の数、種類及び内容に応じて2人以上の通関士を置かなければならない。,○×,×,「2人以上」ではなく、「必要な員数」である(業法第13条、施行令5条)。
通関業法（通関業者・通関士の義務）,53-15-3,通関業者は、通関士を置くことを要しない営業所に通関士を置かない場合には通関業法第14条に規定する通関士の審査等の義務を負わないが、当該営業所に通関士を置いた場合には当該義務を負うこととなる。,○×,○,通関業者は、他人の依頼に応じて税関官署に提出する通関書類のうち一定のもの（通関士が通関業務に従事している営業所における通関業務に係るものに限る。）については、通関士にその内容を審査させ、かつ、これに記名させなければならない(業法14条)。この通関士の審査及び記名の義務は、通関士を設置する必要のない営業所に通関士を置いた場合であっても負う(業法基本通達14-1)。
通関業法（通関業者・通関士の義務）,53-15-4,通関業者は、通関士を置かなければならないこととされる営業所ごとに、専任の通関士1人以上を置かなければならないが、営業所における通関業務の量からみて専任の通関士を置く必要がないものとして財務大臣の承認を受けた場合には、専任であることを要しない。,○×,×,過去にはこのような専任通関士の設置義務が業法施行令で規定されていたが、現在は廃止されている。
通関業法（通関業者・通関士の義務）,53-15-5,通関業者は、通関士を置かなければならないこととされる営業所に設置した通関士が通関士の資格を喪失し、当該営業所に通関士を置かない状況に至ったときは、2月以内に当該営業所に通関士を置くため必要な措置をとらなければならないこととされている。,○×,×,そのような規定は無い。
通関業法（通関業者・通関士の義務）,53-16-1,通関業者は、通関業務の料金の額を営業所において依頼者の見やすいように掲示しなければならない。,○×,○,通関業者は、通関業務（関連業務含む。）の料金の額を営業所において依頼者の見やすいように掲示しなければならない(業法18条)。
通関業法（通関業の許可）,53-16-2,通関業者が合併しようとするときは、その合併について財務大臣の承認を受けなければならない。,○×,×,業法11条の2第4項により、合併により通関業の許可に基づく地位を承継することについては予め財務大臣の承認が要るが、合併自体に承認を要するとの規定は無い。合併は勝手にしてね、だけど予め通関業の許可に基づく地位を承継することについて承認受けてないと、通関業の許可は引き継がれないよということである。
通関業法（通関業者・通関士の義務）,53-16-3,通関業者は、その名義を他人に通関業のため使用させてはならない。,○×,○,名義貸しの禁止であり、業法17条にその通りの規定がある。
通関業法（通関業者・通関士の義務）,53-16-4,通関業者(法人である場合には、その役員)は、正当な理由がなくて、通関業務に関して知り得た秘密を他に漏らし、又は盗用してはならない。,○×,○,通関業者（法人である場合には、その役員）及び通関士その他の通関業務の従業者は、正当な理由がなくて、通関業務に関して知り得た秘密を他に漏らし、又は盗用してはならない。これらの者がこれらの者でなくなった後も、同様とする(業法19条)。
通関業法（通関業者・通関士の義務）,53-16-5,通関業者(法人である場合には、その役員)及び通関士は、通関業者又は通関士の信用又は品位を害するような行為をしてはならない。,○×,○,通関業者(法人である場合には、その役員)及び通関士は、通関業者又は通関士の信用又は品位を害するような行為をしてはならない(業法20条)。ちなみに、通関士試験では法人とは会社だと考えればよい。理論上は会社以外の法人も有り得るが、わざわざ通関業を営むのに会社以外の法人を選択するケースは考えにくいし、実際通関業者は会社ばかりだし、通関士試験では法人の細かいところまでは範囲外なのでざっくり理解すればいいからである。通関業者が個人事業主の場合は（個人事業主であることはあまり無いのだが。）、通関業者＝個人事業主なので、通関業者の義務＝個人事業主の義務となる。しかし会社の場合、会社自体は法律上の概念であり物理的には存在しないので、会社が信用又は品位を害するような行為をするというのは考えられない。そのため、会社に勤める人のうち中核となる役員に信用又は品位を害するような行為をしない義務を負わせているのである。会社は物理的には存在しないので、中の人々が運営しており、その人々に法律上権利が与えられたり義務が課せられたりすることがある、と理解しておくと、通関士試験の範囲で学ぶ他の話も理解しやすくなる。
通関業法（通関業者・通関士の義務）,53-17-1,通関業者は、その取扱いに係る関連業務に関する書類をその作成の日後3年間保存しなければならない。,○×,○,通関業者は、通関業務（関連業務を含む。）に関して帳簿を設け、その収入に関する事項を記載するとともに、その取扱いに係る通関業務に関する書類を一定期間保存しなければならない(業法第22条1項)。この一定期間とは、帳簿については閉鎖の日後3年間、書類については作成の日後3年間である(施行令8条3項)。
通関業法（通関業者・通関士の義務）,53-17-2,通関業者は、通関士その他の通関業務の従業者(当該通関業者が法人である場合には、通関業務を担当する役員及び通関士その他の通関業務の従業者)の氏名及びその異動を財務大臣に届け出なければならないこととされており、この「通関業務の従業者」とは、通関業者において通関業務に携わる従業者全員をいい、当該通関業者に所属しているものの通関業務に関与していない者(例えば経理事務や施設管理のための庶務作業のみを行う者等。)については含まないこととされている。,○×,○,通関業者は、通関士その他の通関業務の従業者(当該通関業者が法人である場合には、通関業務を担当する役員及び通関士その他の通関業務の従業者)の氏名及びその異動を財務大臣に届け出なければならないこととされており(業法22条2項)、この「通関業務の従業者」とは、通関業者において通関業務に携わる従業者全員をいい、当該通関業者に所属しているものの通関業務に関与していない者(例えば経理事務や施設管理のための庶務作業のみを行う者等。)については含まないこととされている(同法基本通達22-1(3))。
通関業法（通関業者・通関士の義務）,53-17-3,通関業者は、通関士その他の通関業務の従業者(当該通関業者が法人である場合には、通関業務を担当する役員及び通関士その他の通関業務の従業者)の氏名及びその異動を財務大臣に届け出なければならないが、当該通関業者が認定通関業者である場合にはこれを要しない。,○×,×,業法第22条2項により通関業者にはこのような届出義務があるものの、認定通関業者だからといって届出義務が免除される規定はない。
通関業法（通関業者・通関士の義務）,53-17-4,"通関業者が保存しなければならないこととされているその取扱いに係る通関業務に関する 書類は、
・ 通関業務に関し税関官署又は財務大臣に提出した申告書、申請書、不服申立書その他これらに準ずる書類の写し
・ 通関業務に関し、依頼者から依頼を受けたことを証する書類
・ 通関業務に関する料金の受領を証する書類の写しである。",○×,○,通関業者は、通関業務（関連業務を含む。）に関して帳簿を設け、その収入に関する事項を記載するとともに、その取扱いに係る通関業務に関する書類を一定期間保存しなければならないとされているが(業法第22条1項)、この書類とは本問の通りである(施行令8条2項)。
通関業法（通関業者・通関士の義務）,53-17-5,法人である通関業者が提出する定期報告書(その取扱いに係る通関業務及び関連業務の件数、これらについて受けた料金の額その他通関業務及び関連業務に係る事項を記載した報告書)には、報告期間に係る事業年度の貸借対照表及び損益計算書を添付しなければならない。,○×,○,通関業者は、その取扱いに係る通関業務の件数、これらについて受けた料金の額その他通関業務に係る事項を記載した報告書を毎年一回財務大臣に提出しなければならないが(業法22条3項)、法人である通関業者が提出するこの報告書には、報告期間に係る事業年度の貸借対照表及び損益計算書を添付しなければならない(施行令10条2項)。
通関業法（通関士の資格）,53-18-1,通関業者は、通関士を置かなければならないこととされる営業所に通関士を置いている場合において、当該営業所に当該通関士に加え、現に通関士ではない通関士試験の合格者を新たに通関士として置き、その通関業務に従事させようとするときは、その者につき財務大臣の確認を受けることを要しない。,○×,×,通関士となるには財務大臣の確認を受けなければならず、確認を受けずに通関士となれるような例外は無い(業法31条1項参照)。
通関業法（通関士の資格）,53-18-2,通関士試験に合格した者は、その合格後2年以内に財務大臣の確認を受けないときは、通関士となる資格を喪失することとなる。,○×,×,一度合格したら、一定期間確認を受けてないことを理由に通関士となる資格を喪失するような規定は無いし、そもそも通関士の確認を受けていなければ喪失以前に通関士ではない(業法32条参照)。
通関業法（通関士の資格）,53-18-3,関税法第111条(許可を受けないで輸出入する等の罪)の規定に該当する違反行為をした者であって、当該違反行為があった日から2年を経過しないものは、通関士となることができない。,○×,○,関税法108条の4から112条までの規定に該当する違反行為をした者であって、当該違反行為があった日から2年を経過しないものは、通関士となることができない(業法31条2項2号、6条4号イ)。
通関業法（通関士の資格）,53-18-4,通関業者は、その営業所において通関士として通関業務に従事させている者について、当該通関業者の他の営業所において通関業務に従事させようとする場合には、改めて財務大臣の確認を受けなければならない。,○×,×,この場合は改めて財務大臣の確認を受ける必要が無い(業法31条、基本通達31-1(3))。
通関業法（通関士の資格）,53-18-5,通関業法第31条の規定による財務大臣の確認の有効期間は、当該確認を受けた日から起算して5年である。,○×,×,確認に有効期間は無い(業法31条参照)。
通関業法（行政処分）,53-19-1,財務大臣は、通関業者に対する監督処分をしたときは、遅滞なくその旨を公告しなければならないが、通関士に対する懲戒処分をしたときは、公告することを要しない。,○×,×,通関業者に対する監督処分、通関士に対する懲戒処分のいずれの場合も、遅滞なくその旨を公告しなければならない(業法34条2項、35条2項)。
通関業法（行政処分）,53-19-2,財務大臣は、通関士に対する懲戒処分をしようとするときは、当該通関士がその業務に従事する通関業者及び審査委員の意見を聴かなければならない。,○×,×,当該通関士がその業務に従事する通関業者の意見を聴く必要はあるが、審査委員の意見を聴く必要は無い。審査委員の意見を聴く必要があるのは通関業者への監督処分のときである(業法37条1項)。
通関業法（行政処分）,53-19-3,財務大臣は、通関業者に対し、その業務の運営の改善に必要な措置をとるべきことを命ずるときは、審査委員の意見を聴かなければならない。,○×,×,業務改善命令(業法33条の2)をするときには審査委員の意見を聴く必要は無い。
通関業法（行政処分）,53-19-4,何人も、通関士に、通関士に対する懲戒処分に該当する事実(通関士が通関業法又は関税法その他関税に関する法令の規定に違反した事実)があると認めたときは、財務大臣に対し、その事実を申し出て、適当な措置をとるべきことを求めることができる。,○×,○,何人も、通関業者に、通関業者に対する監督処分に該当する事実、又は通関士に、通関士に対する懲戒処分に該当する事実があると認めたときは、財務大臣に対し、その事実を申し出て、適当な措置をとるべきことを求めることができる(業法36条)。
通関業法（行政処分）,53-19-5,財務大臣は、通関業の適正な遂行のために必要があると認めるときは、その必要の限度において、通関士に対し、その業務の運営の改善に必要な措置をとるべきことを命ずることができる。,○×,×,業務改善命令の対象は通関士ではなく通関業者である(業法33条の2)。
通関業法（罰則）,53-20-1,通関業法第19条の規定に違反して、通関業務に関して知り得た秘密を他に漏らし、又は盗用した者は、同法の規定に基づき拘禁刑又は罰金に処せられることがあるが、この罪は告訴がなければ公訴を提起することができないこととされている。,○×,○,通関業法19条の規定に違反して、通関業務に関して知り得た秘密を他に漏らし、又は盗用した者は、1年以下の拘禁刑又は100万円以下の罰金に処せられることがあるが(41条1項3号)、この罪は告訴がなければ公訴を提起することができない(同条2項)。
通関業法（罰則）,53-20-2,通関業法第33条の2の規定による業務改善命令に違反した者は、同法の規定に基づき罰金に処せられることがある。,○×,○,通関業法33条の2の規定による業務改善命令に違反した者は、50万円以下の罰金に処せられることがある(業法43条1号)。
通関業法（罰則）,53-20-3,通関業法第33条の規定に違反して自らの通関士の名義を他人に通関業務のため使用させた者は、同法の規定に基づき罰金に処せられることがある。,○×,○,通関業法33条の規定に違反して自らの通関士の名義を他人に通関業務のため使用させた者は、30万円以下の罰金に処せられることがある(業法44条2号)。
通関業法（罰則）,53-20-4,通関業法第40条の規定に違反して通関業者という名称を使用した通関業者でない者は、同法の規定に基づき罰金に処せられることがある。,○×,○,通関業法40条の規定に違反して通関業者という名称を使用した通関業者でない者と、通関士という名称を使用した通関士でない者は、30万円以下の罰金に処せられることがある(業法44条3号)。
通関業法（罰則）,53-20-5,法人である通関業者の従業者が、その法人の業務に関し、通関業法第17条の規定に違反してその通関業者の名義を他人に通関業のため使用させたときは、当該従業者が同法の規定に基づき罰せられることがあるほか、その法人に対しても罰金刑が科されることがある。,○×,○,法人である通関業者の従業者が、その法人の業務に関し、通関業法第17条の規定に違反してその通関業者の名義を他人に通関業のため使用させたときは、当該従業者が同法の規定に基づき罰せられることがあるほか、その法人に対しても罰金刑が科されることがある(両罰規定 業法44条1号、45条)。
