カテゴリー,問題番号,問題,選択肢,正解,解説
通関業法（通関業の許可）,57-12-5,認定通関業者である通関業者が通関業務を行う営業所を新たに設けようとする場合には、財務大臣にその旨を届け出ることにより当該営業所を新設することはできない。,○×,×,通常の通関業者が通関業務を行う営業所を新たに設けようとする場合には、財務大臣の許可を受けることを要するが、認定通関業者である通関業者が通関業務を行う営業所を新たに設けようとする場合には、財務大臣にその旨を届け出るだけでよい(業法8条1項、9条1項)。
通関業法（通関業の許可）,57-13-1,通関業者が通関業を廃止したことにより通関業の許可が消滅した場合において、現に進行中の通関手続があるときは、当該通関手続については、当該通関業の許可を受けていた者が引き続き当該通関業の許可を受けているものとみなすこととされている。,○×,○,業法10条3項にその通りの規定がある。未完了の手続がある場合にその手続を行う者がいなくなると依頼者が困るので、完了するまでは許可を受けていた者に手続を行わせるための規定である。
通関業法（通関業の許可）,57-13-2,財務大臣は、通関業者が偽りその他不正の手段により通関業の許可を受けたことが判明したときは、通関業法第11条の規定に基づき、当該通関業の許可を取り消すことができる。,○×,○,偽りその他不正の手段により通関業の許可を受けたことが判明したときは、通関業の許可の取消事由となる(業法11条1項1号)。
通関業法（通関業の許可）,57-13-3,財務大臣は、法人である通関業者であって、その役員が通関業法第6条第7号に規定する暴力団員に該当するに至ったときは、同法第11条の規定に基づき、当該通関業者の通関業の許可を取り消すことができる。,○×,○,法人である通関業者の役員が通関業法6条7号に規定する暴力団員に該当するに至ったことは、通関業の許可の取消事由となる(業法11条1項2号、6条10号)。
通関業法（通関業の許可）,57-13-4,通関業者が関税法第111条(許可を受けないで輸出入する等の罪)の規定に該当する違反行為をして同法の規定により通告処分を受けた者に該当するに至ったときは、当該通関業者の通関業の許可は消滅する。,○×,×,通関業者が関税法111条(許可を受けないで輸出入する等の罪)の規定に該当する違反行為をして同法の規定により通告処分を受けた者に該当するに至ったときは、通関業の許可の消滅事由ではないが、取消事由となる(通関業法11条1項2号、6条4号イ)。
通関業法（通関業の許可）,57-13-5,通関業の許可を受けた者がその許可の日から1年以内に通関業務を開始しない場合であっても、当該通関業の許可は消滅しない。,○×,○,通関業の許可を受けた者がその許可の日から1年以内に通関業務を開始しないことは、通関業の許可の消滅事由ではない(業法10条1項参照)。
通関業法（通関業の許可）,57-14-1,通関業者が死亡し相続があった場合において、当該通関業者の通関業の許可に基づく地位を承継した者は、当該通関業者の死亡後60日以内に、その承継について財務大臣に承認の申請をすることができる。,○×,○,その通りである(業法11条の2第2項)。財務大臣が承認しなかった場合は、許可が消滅する(10条1項2号)。
通関業法（通関業の許可）,57-14-2,法人である通関業者が合併する場合において、あらかじめ財務大臣の承認を受けたときは、その合併後存続する法人は、当該合併により消滅した法人の通関業の許可に基づく地位を承継することができる。,○×,○,その通りである(業法11条の2第4項)。通関業者の死亡による承継の場合と異なり、あらかじめ承認を受けることを要する。
通関業法（通関業の許可）,57-14-3,財務大臣は、法人である通関業者が合併する場合において、その合併後存続する法人が通関業の経営の基礎が確実であることについての基準に適合しないときは、通関業の許可に基づく地位の承継の承認をしないものとされている。,○×,○,財務大臣は、法人である通関業者が合併する場合において、合併後存続する法人が通関業の許可基準(業法5条)に適合するかを審査し、これに適合しないときは、通関業の許可に基づく地位の承継の承認をしない(11条の2第5項)。そして、通関業の経営の基礎が確実であることは許可基準の1つであるから(5条1号)、これに適合しないときは、通関業の許可に基づく地位の承継の承認をしない。
通関業法（通関業の許可）,57-14-4,財務大臣は、通関業者について相続により通関業の許可に基づく地位の承継の承認をするに際しては、当該承認をしようとする承継に係る通関業の許可に付された条件を変更することはできない。,○×,×,財務大臣は、通関業の許可に基づく地位の承継の承認をする際には、承認対象である通関業の許可に付された条件を取り消し、変更し、又は新たに条件を付することができる(業法11条の2第6項)。
通関業法（通関業の許可）,57-14-5,財務大臣は、法人である通関業者について合併により通関業の許可に基づく地位の承継の承認をするに際しては、当該承認をしようとする承継に係る通関業務を行う営業所の許可について新たに条件を付することができる。,○×,○,財務大臣は、通関業の許可に基づく地位の承継の承認をする際には、承認対象である通関業の許可に付された条件（営業所の許可に付された条件を含む。）を取り消し、変更し、又は新たに条件を付することができる(業法11条の2第6項)。
通関業法（通関業者・通関士の義務）,57-15-1,通関業者は、通関士が通関業務に従事している営業所における通関業務として、他人の依頼に応じて税関官署に提出する関税法の規定に基づいて税関長に対してする不服申立てに係る不服申立書について、通関士にその内容を審査させなければならない。,○×,○,通関士が通関業務に従事している営業所における通関業務として、他人の依頼に応じて税関官署に提出する関税法の規定に基づいて税関長に対してする不服申立てに係る不服申立書については、通関士の審査対象となる通関書類である(業法14条、同法施行令6条2号、同法2条1号イ(2))。
通関業法（通関業者・通関士の義務）,57-15-2,通関業者は、通関士が通関業務に従事している営業所における通関業務として、他人の依頼に応じて税関官署に提出する修正申告書について、通関士にその内容を審査させなければならない。,○×,○,通関士が通関業務に従事している営業所における通関業務として、他人の依頼に応じて税関官署に提出する修正申告書については、通関士の審査対象となる通関書類である(業法14条、同法施行令6条4号、関税法施行令4条の16第1項)。
通関業法（通関業者・通関士の義務）,57-15-3,通関業者は、通関士が通関業務に従事している営業所における通関業務として、他人の依頼に応じて税関官署に提出する更正請求書について、通関士にその内容を審査させなければならない。,○×,○,通関士が通関業務に従事している営業所における通関業務として、他人の依頼に応じて税関官署に提出する更正請求書については、通関士の審査対象となる通関書類である(業法14条、同法施行令6条4号、関税法施行令4条の17第1項)。
通関業法（通関業者・通関士の義務）,57-15-4,通関業者は、通関士が通関業務に従事している営業所における通関業務として、他人の依頼に応じて税関官署に提出する関税の納期限の延長に係る申請書について、通関士にその内容を審査させなければならない。,○×,×,通関士が通関業務に従事している営業所における通関業務として、他人の依頼に応じて税関官署に提出する関税の納期限の延長に係る申請書については、通関士の審査対象となる通関書類ではない(業法14条、同法施行令6条)。
通関業法（通関業者・通関士の義務）,57-15-5,通関業者は、通関士が通関業務に従事している営業所における通関業務として、他人の依頼に応じて税関官署に提出する保税工場に外国貨物を置くことの承認に係る申請書について、通関士にその内容を審査させなければならない。,○×,○,通関士が通関業務に従事している営業所における通関業務として、他人の依頼に応じて税関官署に提出する保税工場に外国貨物を置くことの承認（移入承認）に係る申請書については、通関士の審査対象となる通関書類である(業法14条、同法施行令6条1号、同法2条1号イ(1)(四)、関税法61条の4、43条の3第1項)。
通関業法（通関業者・通関士の義務）,57-16-1,法人である通関業者の役員及び通関士は、正当な理由がなくて、通関業務に関して知り得た秘密を盗用してはならないこととされており、これらの者がこれらの者でなくなった後も、同様とされている。,○×,○,法人である通関業者の役員と、通関士と、その他の通関業務従事者は、正当な理由がないのに通関業務に関して知り得た秘密を他に漏らし、又は盗用してはならないこととされており、これらの者がこれらの者でなくなった後も、同様である(業法19条)。
通関業法（通関業者・通関士の義務）,57-16-2,法人である通関業者の役員及び通関士は、通関業者又は通関士の信用又は品位を害するような行為をしてはならない。,○×,○,法人である通関業者の役員及び通関士は、通関業者又は通関士の信用又は品位を害するような行為をしてはならない。(信用失墜行為の禁止 業法20条)。
通関業法（通関業者・通関士の義務）,57-16-3,通関業法の規定により通関業者が保存しなければならない通関業務に関する書類については、電磁的記録により保存することができることとされている。,○×,○,通関業者はその取扱いに係る通関業務に関する書類を一定期間保存しなければならないが(業法22条1項)、これを電磁的記録（つまり紙ではなく電子データ）により保存することもできる(同法基本通達22-2)。
通関業法（通関業者・通関士の義務）,57-16-4,通関業法第18条の規定により通関業者が掲示する料金の額は、依頼者に対する透明性を確保する観点から、依頼者にとって分かりやすいものでなければならないこととされている。,○×,○,業法基本通達18-1にその通りの規定がある。なお、当該料金の額については、支払額に係る予見可能性を確保するために、貨物の特性、取扱規模等の事情により料金に割増・割引が生じる場合等についてはその適用がある旨を、当該料金の額に含まれない実費を別途請求する場合についてはその旨を記載したものでなければならない。
通関業法（通関業者・通関士の義務）,57-16-5,法人である通関業者が財務大臣に提出する定期報告書(その取扱いに係る通関業務及び関連業務の件数、これらについて受けた料金の額その他通関業務及び関連業務に係る事項を記載した報告書)には、その報告期間に係る事業年度の貸借対照表及び損益計算書を添付しなければならない。,○×,○,通関業者は、その取扱いに係る通関業務の件数、これらについて受けた料金の額その他通関業務に係る事項を記載した報告書を毎年1回財務大臣に提出しなければならない(定期報告書  業法22条3項)。そして、通関業者が法人である場合、この報告書には、報告期間に係る事業年度の貸借対照表及び損益計算書を添付しなければならない(同法施行令10条2項)。
通関業法（通関業者・通関士の義務）,57-17-1,通関業者は、通関業務に関する料金の受領を証する書類の写しについて、その作成後に保存することを要しない。,○×,×,通関業者は、通関業務（関連業務を含む。）に関して帳簿を設け、その収入に関する事項を記載するとともに、その取扱いに係る通関業務に関する書類を一定期間保存しなければならないが(業法22条1項)、通関業務に関する料金の受領を証する書類の写しについては、この保存しなければならない書類に含まれる(同法施行令8条2項3号)。
通関業法（通関業者・通関士の義務）,57-17-2,通関業者は、通関業務に関し、依頼者から依頼を受けたことを証する書類について、その作成の日後3年間保存しなければならない。,○×,○,通関業者は、通関業務（関連業務を含む。）に関して帳簿を設け、その収入に関する事項を記載するとともに、その取扱いに係る通関業務に関する書類を一定期間保存しなければならないが(業法22条1項)、通関業務に関し、依頼者から依頼を受けたことを証する書類については、この保存しなければならない書類に含まれる(同法施行令8条2項2号)。そして、保存期間は作成の日後3年間となる(同条3項)。
通関業法（通関業者・通関士の義務）,57-17-3,通関業者は、通関業務に関し、依頼者から受領した仕入書、運賃明細書及び保険料明細書について、その受領の日後3年間保存しなければならない。,○×,×,通関業者は、通関業務（関連業務を含む。）に関して帳簿を設け、その収入に関する事項を記載するとともに、その取扱いに係る通関業務に関する書類を一定期間保存しなければならないが(業法22条1項)、通関業務に関し、依頼者から受領した仕入書、運賃明細書及び保険料明細書については、この保存しなければならない書類に含まれない(同法施行令8条2項)。
通関業法（通関業者・通関士の義務）,57-17-4,通関業者が財務大臣に提出する定期報告書(その取扱いに係る通関業務及び関連業務の件数、これらについて受けた料金の額その他通関業務及び関連業務に係る事項を記載した報告書)には、その報告期間の末日における通関業務の用に供される資産の明細を記載することを要しない。,○×,×,"通関業者は、その取扱いに係る通関業務の件数、これらについて受けた料金の額その他通関業務に係る事項を記載した報告書を毎年1回財務大臣に提出しなければならない(定期報告書  業法22条3項)。
そしてこの定期報告書には、
①報告期間中に取り扱つた通関業務についての種類別の件数及び受ける料金の額
②報告期間中における通関業務に関する支出の総額及びその内訳（帳簿上当該支出を分別経理していないときは、合理的推定を加えて計算した支出の総額及びその内訳並びにその計算の基礎）
③報告期間の末日における通関業務の用に供される資産の明細
④その他参考となるべき事項
を記載する(同法施行令10条1項)。そうすると、本問は③を記載することを要しないと述べている点が誤りとなる。"
通関業法（通関業者・通関士の義務）,57-17-5,通関業者は、定期報告書(その取扱いに係る通関業務及び関連業務の件数、これらについて受けた料金の額その他通関業務及び関連業務に係る事項を記載した報告書)を毎年4月30日までに財務大臣に提出しなければならない。,○×,×,定期報告書の提出期限は毎年6月30日までである(業法22条3項、同法施行令10条1項)。
通関業法（通関士の資格）,57-18-1,"通関業者は、他の通関業者の通関業務に従事する通関士について、当該他の通関業者に係る通関士と併任して、通関士という名称を用いて自己の通関業務に従事させようとするときは、当該他の通関業者の承諾を得なければならないこととされている。
",○×,○,通関業者は、他の通関業者の通関業務に従事する通関士について、当該他の通関業者に係る通関士と併任して、通関士という名称を用いて自己の通関業務に従事させることもできる。その場合、当該他の通関業者の承諾を得なければならない(業法31条1項、同法基本通達31-1(4))。
通関業法（通関士の資格）,57-18-2,通関業者は、他の通関業者の通関業務に従事する通関士について、当該他の通関業者に係る通関士と併任して、通関士という名称を用いて自己の通関業務に従事させようとするときは、財務大臣の確認を受けることを要しない。,○×,×,通関業者は、他の通関業者の通関業務に従事する通関士について、当該他の通関業者に係る通関士と併任して、通関士という名称を用いて自己の通関業務に従事させることもできる。その場合、併任について異議がない旨の当該他の通関業者の承諾書を添付した上で、財務大臣の確認を受けなければならない(業法31条1項、同法基本通達31-1(4))。
通関業法（通関士の資格）,57-18-3,通関業者は、通関士試験に合格した者である派遣労働者(労働者派遣事業の適正な運営の確保及び派遣労働者の保護等に関する法律第2条第2号に規定する派遣労働者をいう。)について、財務大臣の確認を受け、通関士という名称を用いてその通関業務に従事させることができる。,○×,○,派遣労働者も、財務大臣の確認を受け、通関士という名称を用いて通関業者の通関業務に従事できる(業法31条、同法基本通達31-1(5))。
通関業法（通関士の資格）,57-18-4,通関業者でない者は、通関士試験に合格した者について、財務大臣の確認を受けて通関士という名称を用いてその業務に従事させることはできない。,○×,○,通関士試験に合格した者について、財務大臣の確認を受けて通関士として業務に従事させるためには、通関業者であることが条件となる(業法31条1項)。
通関業法（通関士の資格）,57-18-5,通関業者は、通関士試験に合格した者について財務大臣の確認を受けようとする場合には、その確認に係る届出に関する書面に、その合格した者が通関業法第31条第2項第1号及び第2号に規定する通関士の欠格事由に該当しないことを証する書面を添付しなければならない。,○×,○,通関業者は、通関士試験に合格した者について財務大臣の確認を受けようとする場合には、その確認に係る届出に関する書面に、その合格した者が通関業法第31条第2項第1号及び第2号に規定する通関士の欠格事由に該当しないことを証する書面その他参考となるべき書面を添付しなければならない(業法施行令13条2項)。
通関業法（通関士の資格）,57-19-1,通関士が、退職により通関業務に従事しないこととなった場合であっても、その通関士の資格を喪失しないこととされている。,○×,×,通関士は、確認を受けた通関業者を退職したために通関業務に従事しないこととなった場合、通関士の資格を喪失する(業法32条1号、同法基本通達32-1(2)イ)。
通関業法（通関士の資格）,57-19-2,通関士が、疾病により通関業務に従事できないこととなった場合であっても、当該通関士がその職にある限り、その通関士の資格を喪失しないこととされている。,○×,○,通関士は、確認を受けた通関業者の通関業務に従事しないこととなった場合、通関士の資格を喪失する。疾病により通関業務に従事できないこととなった場合であっても、当該通関士がその職にある限りは「通関業者の通関業務に従事しないこととなった場合」には当たらず、通関士の資格を喪失しない(業法32条1号、同法基本通達32-1(2))。つまり、例えば病気で休職中でも通関士としての職についている状態であれば、通関士の資格を喪失しない。
通関業法（通関士の資格）,57-19-3,通関士試験に合格した者は、その受験地を管轄する税関の管轄区域内においてのみ、通関士となる資格を有する。,○×,×,通関士試験に合格した者は、どの税関の管轄区域内においても、通関士となる資格を有する(業法25条)。全国どこでも確認を受ければ通関士になれる。
通関業法（通関士の資格）,57-19-4,不正な手段により通関業法第31条第1項の確認(通関業者が通関士試験に合格した者を通関士という名称を用いてその通関業務に従事させようとする場合における財務大臣の確認)を受けたことが判明した者については、税関長により通関士試験の合格の決定が取り消される。,○×,×,偽りその他不正な手段により通関業法31条第1項の確認を受けたことが判明したときは、通関士の資格を喪失するが(32条4号)、通関士試験の合格の決定が取り消されるわけではない。したがって、確認を受ければまた通関士となることができる。
通関業法（通関士の資格）,57-19-5,通関士試験に合格した者が、その合格に係る官報での公告の日から3年間通関士として通関業務に従事しないときは、通関士となる資格を喪失する。,○×,×,一度通関士試験に合格すれば、通関士試験の合格の決定が取り消されない限りは、通関士となる資格を喪失することはない。
通関業法（行政処分）,57-20-1,財務大臣は、通関士に対する懲戒処分として、通関士に対し、戒告したときは、その旨を公告することを要しない。,○×,×,財務大臣は、通関士に対する懲戒処分を行ったときは、遅滞なくその旨を公告しなければならない(業法35条、34条2項)。
通関業法（行政処分）,57-20-2,財務大臣は、通関士に対する懲戒処分として、通関士に対し、1年以内の期間を定めてその者が通関業務に従事することを停止することができる。,○×,○,財務大臣は、通関士が通関業法又は関税法その他関税に関する法令の規定に違反したときは、その通関士に対し、戒告し、1年以内の期間を定めてその者が通関業務に従事することを停止し、又は2年間その者が通関業務に従事することを禁止することができる(業法35条1項)。
通関業法（行政処分）,57-20-3,財務大臣は、通関士に対する懲戒処分として、通関士に対し、2年間その者が通関業務に従事することを禁止することができる。,○×,○,財務大臣は、通関士が通関業法又は関税法その他関税に関する法令の規定に違反したときは、その通関士に対し、戒告し、1年以内の期間を定めてその者が通関業務に従事することを停止し、又は2年間その者が通関業務に従事することを禁止することができる(業法35条1項)。
通関業法（行政処分）,57-20-4,通関士が、通関士に対する懲戒処分として、通関業務に従事することを停止された場合にあっては、当該通関士は、その停止の期間の経過後、直ちに通関士として通関業務に従事することができることとされている。,○×,○,"通関士に対する懲戒処分は戒告処分、禁止処分、停止処分に分かれるが、通関士が禁止処分を受けた場合には、通関士の資格を喪失するので(業法32条2号、6条8号)、禁止期間経過後通関士として通関業務に従事しようとするときは、改めて通関士の確認を受ける必要がある。
しかし、通関士が停止処分を受けた場合にあっては、停止期間経過後、直ちに通関士として通関業務に従事することができる(同法基本通達35-1(2))。"
通関業法（行政処分）,57-20-5,何人も、通関士に、財務大臣が通関士に対する懲戒処分をすることができる場合に該当する事実があると認めたときは、財務大臣に対し、その事実を申し出て、適当な措置をとるべきことを求めることができる。,○×,○,業法36条にその通りの規定がある。「何人も」（なんびとも）は、誰でもという意味である。全然本人と関係ない人でも、財務大臣に対して求めることができる。
