カテゴリー,問題番号,問題,選択肢,正解,解説
関税法等(輸出通関),56-8-4,A,輸出しようとする貨物について税関長が指定した場所以外の場所で関税法第67条の検査を受けようとする者は、当該貨物の置かれている場所を所轄する税関長の許可を受けなければならない。,○×,○,"輸出の際に必要な検査は、税関長が指定した場所で行うものとするが、指定された場所以外の場所で検査を受けようとする者は、当該検査を受けようとする貨物の置かれている場所を所轄する税関長の許可を受けなければならない(関69条1項、2項)。
[参照　第2編（関税法）-第3章（輸出入申告）-7.審査、検査]"
関税法等(関税法等の特例法),56-8-5,B,物品の一時輸入のための通関手帳に関する通関条約(ATA条約)の実施に伴う関税法等の特例に関する法律に規定する通関手帳により、我が国から一時輸出され、我が国に再輸入されることが予定されている商品見本を一時輸出しようとする者が、その輸出の際に当該商品見本に係る通関手帳を税関長に提出した場合は、税関長は、当該通関手帳の輸出証書を関税法施行令第58条に規定する輸出申告書として取り扱うこととされている。,○×,○,"通関手帳（ATAカルネ）によって日本から一時的に輸出する場合であるから、通関手帳の輸出証書を輸出申告書として取り扱う(特例通第5章3-6(1)、3-9(2))。
[参照　第2編（関税法）-第3章（輸出入申告）-3.申告の方法-（3）例外2 申告書以外の書面提出、第5編（関税法等の特例法）-2.ATA特例法-（2）手続-②日本からの一時輸出]"
関税法等(輸入通関),56-9-1,B,関税法第23条第2項の規定により税関長の承認を受けて外国貿易船に積み込んだ内国貨物である船用品を国内に引き取ろうとする場合は、輸入申告をしなければならない。,○×,×,"内国貨物である船用品又は機用品を、本邦と外国との間を往来する船舶又は航空機に積み込もうとする者は、税関長に申告し、その承認を受けなければならない(関23条2項)。そして、このような承認を受けた貨物は内国貨物のままであり続けるので、本邦に引き取る際、輸入申告は不要である。
[参照　第2編（関税法）-第3章（輸出入申告）-18.船用品、機用品の積込み]"
関税法等(輸入申告の特例),56-9-2,A,特例申告に係る貨物については、輸入の許可を受ける前であっても、保税地域を経由して本邦に引き取ることができる。,○×,×,"輸入申告は、その申告に係る貨物を保税地域等に入れた後にするものとするのが原則であるが、特例申告貨物について輸入申告を行う場合は例外であり、保税地域等に入れなくても「輸入(引取)申告」ができる(関67条の2第3項3号)。しかし、輸入の許可を受けないと本邦に引き取ることはできない(関67条)。
[参照　第2編（関税法）-第4章（輸出入申告の特例）-2.輸入申告の特例-（1）特徴、（2）流れ]"
関税法等(輸入通関),56-9-3,A,税関長は、輸入申告があった場合においてその輸入の許可の判断のために必要があるときは、契約書、仕入書その他の申告の内容を確認するために必要な書類を提出させることができる。,○×,○,"税関長は、輸出申告や輸入申告があった場合、輸出許可や輸入許可の判断のため必要があるときは、契約書、仕入書その他の申告の内容を確認するために必要な書類を提出させることができる(関68条)。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（1）添付書類の種類]"
関税法等(輸入通関),56-9-4,A,輸入しようとする貨物の課税価格を計算する場合において、外国通貨により表示された価格の本邦通貨への換算は、実勢外国為替相場の著しい変動がある場合を除き、当該貨物に係る輸入申告の日の属する週の前週における実勢外国為替相場の当該週間の平均値に基づき税関長が公示する相場によるものとされている。,○×,×,"輸入しようとする貨物の課税価格を計算する場合において、外国通貨により表示された価格の本邦通貨への換算は、原則として輸入申告の日の属する週の「前々週」における実勢外国為替相場の当該週間の平均値に基づき税関長が公示する相場によるものとされている(関率4条の7、関率規1条)。前週ではない。
[参照　第2編（関税法）-第3章（輸出入申告）-5.申告すべき数量と価格]"
関税法等(郵便物の輸出入),56-9-5,A,課税標準となるべき価格が20万円を超える郵便物を輸入しようとする場合であっても、当該郵便物が寄贈物品に該当するものであるときは、当該郵便物について輸入申告を行うことを要しない。,○×,○,"課税価格が20万円を超えている郵便物の輸入は簡易手続対象とならないので輸入申告を要するが、寄贈物品であるものについては20万円を超えていても簡易手続対象となるため輸入申告は不要となる(関76条1項)。
[参照　第2編（関税法）-第6章（郵便物の輸出入）-1.簡易手続の対象となる郵便物]"
関税法等(保税地域),56-10-1,A,保税蔵置場にある外国貨物が腐敗、変質等により本来の用途に供されなくなったことにより、当該外国貨物をくずとして処分しようとする者は、あらかじめその旨を税関に届け出なければならないこととされている。,○×,○,"外国貨物を、腐敗、変質等により本来の用途に供されなくなったことにより、くずとして処分しようとするのは、廃棄するということである。保税地域にある外国貨物を廃棄しようとする者は、あらかじめその旨を税関に届け出なければならない(関34条)。
[参照　第2編（関税法）-第10章（保税地域）-7.共通ルール1（保税地域等に共通する事項）-（4）亡失、滅却、廃棄と関税の徴収]"
関税法等(保税地域),56-10-2,A,保税蔵置場において貨物を管理する者は、あらかじめ税関長の承認を受けた場合には、その管理する外国貨物又は輸出しようとする貨物についての帳簿を設けることを要しない。,○×,×,"保税蔵置場において貨物を管理する者は、その管理する外国貨物又は輸出しようとする貨物についての帳簿を設け、特定の事項を記載しなければならないが(記帳義務 関34条の2)、あらかじめ税関長の承認を受ければこの義務が免除されるという規定はない。
[参照　第2編（関税法）-第10章（保税地域）-8.共通ルール2（保税地域に共通する事項）-（2）記帳義務]"
関税法等(保税地域),56-10-3,A,税関長は、保税地域に税関職員を派出して、当該保税地域に搬出入される貨物に係る許可、承認及び届出の受理等に関する事務を処理させることができることとされている。,○×,○,"税関長は、保税地域に税関職員を派出して、税関の事務の一部を処理させることができる(関35条)。その事務の内容として、保税地域に搬出入される貨物に係る許可、承認及び届出の受理等に関する事務、保税地域に蔵置又は搬出入される貨物についての検査等の事務が挙げられている(関通35-1(2))、具体的に事務の内容を覚えていなくても、税関側が行う事務だと考えれば、関税法35条の内容さえ知っていれば正解できる。
[参照　第2編（関税法）-第10章（保税地域）-8.共通ルール2（保税地域に共通する事項）-（1）税関職員の派出]"
関税法等(保税地域),56-10-4,A,保税地域にある外国貨物を見本として持ち出そうとする者は、その持出しが一時的なものである場合は、税関長の許可を受けることを要しない。,○×,×,"保税地域にある外国貨物を見本として一時持ち出そうとする者は、税関長の許可を受けなければならない(関32条)。
[参照　第2編（関税法）-第10章（保税地域）-7.共通ルール1（保税地域等に共通する事項）-（3）見本の一時持出し]"
関税法等(保税地域),56-10-5,A,保税地域に置くことが困難である外国貨物であるとして、当該外国貨物を保税地域以外の場所に置くことについて税関長が期間及び場所を指定して許可した場合においては、その許可を受けた者はその許可に係る期間の延長を申請することができないこととされている。,○×,×,"他所蔵置許可場所に置くことの許可を受けた場合であるが、この許可を受けた者は許可期間の延長申請もできる(関通30-4)。
[参照　第2編（関税法）-第10章（保税地域）-7.共通ルール1（保税地域等に共通する事項）-（1）外国貨物を置く場所]"
関税法等(輸入申告の特例),56-11-1,A,特例申告を行う場合は、特例申告に係る貨物で輸入の許可を受けたものについて、特例申告書を作成し、当該許可の日の属する月の翌月末日までに当該許可をした税関長に提出しなければならない。,○×,○,"特例申告を行う場合は、特例申告に係る貨物（特例申告貨物）で輸入の許可を受けたものについて、特例申告書を作成し、当該許可の日の属する月の翌月末日までに当該許可をした税関長に提出しなければならない(関7条の2第2項)。
[参照　第2編（関税法）-第4章（輸出入申告の特例）-2.輸入申告の特例-（7）期限内特例申告と期限後特例申告]"
関税法等(輸入通関),56-11-2,A,特例輸入者が、本邦に迅速に引き取られる必要がない貨物を保税地域等に入れないで輸入申告をする場合は、当該貨物を保税地域等に入れないで輸入申告をすることにつき税関長の承認を受け、かつ、当該輸入申告を電子情報処理組織を使用して行わなければならない。,○×,×,"貨物を保税地域等に入れずに輸入申告することができるのは、本船扱い、ふ中扱い(関67条の2第2項、3項1号)、到着即時輸入申告扱い、搬入前申告扱い(関67条の2第3項2号、関令59条の6第1項)、特例申告貨物制度を利用する場合(関67条の2第3項3号)である。
これらのうち、到着即時輸入申告扱いは、貨物が本邦に迅速に引き取られる必要があることを要件とするので(関令59条の6第1項1号)、本問が想定する場合ではない。
本船扱い、ふ中扱い、搬入前申告扱いについては、輸入申告を電子情報処理組織（NACCS）を使用して行うことが義務付けられてはいないので(関令59条の5第1項、59条の6第1項2号))、「輸入申告を電子情報処理組織を使用して行わなければならない。」とする部分が誤りとなる。
輸入申告の特例を利用する場合については、輸入申告をNACCSを使用して行うことが義務付けられているが、貨物を保税地域等に入れないで輸入申告をすることについて税関長の承認を受ける必要はないので(関令59条の6第3項)、「貨物を保税地域等に入れないで輸入申告をすることにつき税関長の承認を受け」なければならないとする部分が誤りとなる。
結局、どの場合を想定しても誤りが含まれるので、本問は誤りとなる。
[参照　第2編（関税法）-第3章（輸出入申告）-2.申告と保税地域等への搬入]"
関税法等(輸入申告の特例),56-11-3,A,税関長は、関税、内国消費税及び地方消費税の保全のために必要があると認めるときは、特例輸入者に対し、金額及び期間を指定して、関税、内国消費税及び地方消費税につき担保の提供を命ずることができ、特例輸入者が過去1年間において過少申告加算税を課された場合は、この「保全のために必要があると認めるとき」に該当することとされている。,○×,○,"税関長は、関税、内国消費税及び地方消費税の保全のために必要があると認めるときは、特例輸入者又は特例委託輸入者に対し、金額及び期間を指定して、関税等につき担保の提供を命ずることができる(関7条の8第1項)。そして、保全のため必要があると認めるときの例として、過去1年間において、過少申告加算税又は無申告加算税の加算税を課された場合が挙げられる(関通7の8-1(1))。よって本問は正しい。
[参照　第2編（関税法）-第4章（輸出入申告の特例）-2.輸入申告の特例-（1）特徴]"
関税法等(輸出申告の特例),56-11-4,B,特定輸出者は、特定輸出申告を行った場合においては、当該特定輸出申告に係る貨物で輸出の許可を受けたものについて、貨物確認書を作成し、当該許可の日の属する月の翌月末日までに当該許可をした税関長に提出しなければならない。,○×,×,"貨物確認書は、特定製造貨物輸出者が、特定製造貨物輸出申告に際して税関長に提出するものである(関67条の3第2項)。
[参照　第2編（関税法）-第4章（輸出入申告の特例）-1.輸出申告の特例-（2）流れ]"
関税法等(輸出通関),56-11-5,A,特定輸出者は、特定輸出申告が行われ、輸出の許可を受けた貨物が輸出されないこととなったことにより当該貨物が輸出の許可を受けている必要がなくなったときは、その許可をした税関長に対し、当該許可を取り消すべき旨の申請をすることはできず、当該貨物に係る輸入申告を行い、輸入の許可を受けなければならない。,○×,×,"輸出申告の特例を利用する場合、特例輸出貨物が積み込まれるまでの間であれば、輸出許可の取消申請を行なって、輸出許可取消しをすることができる(関67条の4第2項)。
[参照　第2編（関税法）-第3章（輸出入申告）-17.撤回、取止め、取消し]"
関税法等(減免戻し税),56-12-1,A,加工のため本邦から輸出され、その輸出の許可の日から1年以内に輸入される貨物については、本邦においてその加工をすることが困難であると認められないものであっても、関税定率法第11条(加工又は修繕のため輸出された貨物の減税)の規定による関税の軽減を受けることができる。,○×,×,"関税定率法11条により、加工又は修繕のため本邦から輸出され、その輸出の許可の日から1年（税関長の承認を受ければ延長可。）以内に輸入される貨物については、その関税を軽減することができるとされるが、加工のため本邦から輸出される貨物については、本邦においてその加工をすることが困難であると認められるものに限られている。
[参照　第3編（関税定率法、関税暫定措置法）-第5章（減免戻し税3（再輸入））-4.加工又は修繕のため輸出された貨物の減税（関率11条）-（1）要件]"
関税法等(減免戻し税),56-12-2,A,修繕のため本邦から輸出され、その輸出の許可の日から1年以内に輸入される貨物については、関税定率法第11条(加工又は修繕のため輸出された貨物の減税)の規定による関税の軽減を受けることができる。,○×,○,"関税定率法11条により、加工又は修繕のため本邦から輸出され、その輸出の許可の日から1年（税関長の承認を受ければ延長可。）以内に輸入される貨物については、その関税を軽減することができるとされる。なお、加工のため本邦から輸出される貨物については、本邦においてその加工をすることが困難であると認められるものに限られている。
[参照　第3編（関税定率法、関税暫定措置法）-第5章（減免戻し税3（再輸入））-4.加工又は修繕のため輸出された貨物の減税（関率11条）-（1）要件]"
関税法等(減免戻し税),56-12-3,A,関税を納付して輸入された貨物のうち品質が契約の内容と相違するため返送することがやむを得ないと認められるもので、その輸入の時の性質及び形状に変更を加えないものを本邦から輸出するときは、当該貨物がその輸入の許可の日から3月以内に保税地域に入れられたものである場合は、関税定率法第20条(違約品等の再輸出又は廃棄の場合の戻し税等)の規定による関税の払戻しを受けることができない。,○×,×,"違約品の再輸出において関税の払戻しを受ける場合、貨物が輸入許可の日から6月以内（税関長の承認を受ければ1年以内まで延長可。）に保税地域等に入れられたものであることが要件の一つとなっている(関率20条1項)。そうすると6月以内に保税地域等に入れられたものであればこの要件を満たすので、3月以内であれば払戻しを受けることができないという点が誤っている。
[参照　第3編（関税定率法、関税暫定措置法）-第6章（減免戻し税4（再輸出））-6.違約品等の再輸出又は廃棄の場合の戻し税（関率20条）-（1）要件]"
関税法等(減免戻し税),56-12-4,B,本邦から出漁した本邦の船舶によって外国で採捕された水産物及び本邦から出漁した本邦の船舶内において当該水産物に加工して得た製品で、輸入されるものについては、関税定率法第14条の3第1項(外国で採捕された水産物等の減税又は免税)の規定による関税の免除を受けることができる。,○×,○,"関税定率法14条の3第1項により、本邦から出漁した本邦の船舶によって外国で採捕された水産物と、本邦から出漁した本邦の船舶内において当該水産物に加工し、又はこれを原料として製造して得た製品で、輸入されるものについては、その関税を免除するとされている。
[参照　第3編（関税定率法、関税暫定措置法）-第3章（減免戻し税1（無条件））-4.外国で採捕された水産物等の減免税（関率14条の3）-（1）要件]"
関税法等(減免戻し税),56-12-5,B,宇宙開発の用に供する人工衛星を開発するためのロケットの部分品であって、本邦において製作することが困難と認められないものについては、関税暫定措置法第4条(航空機部分品等の免税)の規定による関税の免除を受けることができない。,○×,○,"宇宙開発の用に供する人工衛星を開発するためのロケットの部分品は航空機部分品等の免税の対象物品に挙げられているが(暫4条3号、暫令7条4号)、そもそも航空機部分品等の免税は全て、本邦において製作することが困難と認められるものであることが要件となっているので、本邦において製作することが困難と認められないものについては、この規定による関税の免除を受けることができない。
[参照　第3編（関税定率法、関税暫定措置法）-第4章（減免戻し税2（条件付き））-4.航空機部分品等の免税（暫4条）-（1）要件、金額]"
関税法等(課税価格の決定),56-13-1,A,輸入貨物に係る輸入取引に関し、買手により負担される当該輸入貨物の包装に要する包装材料の費用及び包装作業に係る人件費は、当該輸入貨物につき現実に支払われた又は支払われるべき価格に、その含まれていない限度において、当該輸入貨物の課税価格に含むものとされている。,○×,○,"輸入貨物の包装に要する費用は加算費用であり(関率4条1項2号ハ)、この包装に要する費用には、材料費や人件費その他の費用が含まれる(関率通4-11)。
[参照　第1編（申告書の作成、通則、課税価格の決定）-第3章（課税価格の決定（原則））-5.加算費用-（3）買手により負担される手数料又は容器・包装の費用-③買手により負担される輸入貨物の包装に要する費用]"
関税法等(課税価格の決定),56-13-2,A,輸入貨物の生産及び輸入取引に関連して、当該輸入貨物に組み込まれている生地及び当該輸入貨物の生産のために必要とされた意匠が買手により値引きをして提供された場合において、当該意匠が本邦において開発されたものであるときは、当該生地及び当該意匠に要する費用は当該輸入貨物の課税価格に含まれる。,○×,×,"輸入貨物の生産及び輸入取引に関連して、買手により無償で又は値引きをして直接又は間接に提供された物品のうち、当該輸入貨物に組み込まれている材料、部分品又はこれらに類するものについては、加算費用となるので、課税価格に含まれる(無償提供物品 関率4条1項3号イ)。本問の生地は、輸入貨物に組み込まれているのだから、これに当たり課税価格に含まれる。また、輸入貨物の生産に関連して、買手により無償で又は値引きをして直接又は間接に提供された、当該輸入貨物の生産のために必要とされた技術、設計、考案、工芸及び意匠であり、本邦以外において開発されたものについても、加算費用となる(無償提供役務 関率4条1項3号ニ、関率令1条の5第3項)。しかし本問の意匠は、当該輸入貨物の生産のために必要とされているものの、本邦において開発されたものであるから、加算費用とならず、よって輸入貨物の課税価格に含まれない。
[参照　第1編（申告書の作成、通則、課税価格の決定）-第3章（課税価格の決定（原則））-5.加算費用-（4）無償提供物品・役務-①概要]"
関税法等(課税価格の決定),56-13-3,A,買手による輸入貨物の使用によって得られる賃貸料で直接に売手に帰属するよう取り決めたものについては、当該賃貸料の額が明らかなときであっても、当該賃貸料の額は当該輸入貨物の課税価格に算入されないこととされている。,○×,×,"買手による当該輸入貨物の処分又は使用による収益で、直接又は間接に売手に帰属するものとされているものは加算費用とされる(関率4条1項5号)。そして貨物の賃貸料は「輸入貨物の処分又は使用による収益」に該当する(関率通4-14(1))。そうすると、買手による輸入貨物の使用によって得られる賃貸料で直接に売手に帰属するよう取り決めたものについては、輸入貨物の課税価格に算入される。
[参照　第1編（申告書の作成、通則、課税価格の決定）-第3章（課税価格の決定（原則））-5.加算費用-（6）売手帰属収益]"
関税法等(課税価格の決定),56-13-4,B,輸入貨物が航空機により運送された時事に関する記事を掲載する一般的日刊新聞の掲載用のニュース写真であるときは、当該ニュース写真についての輸入港に到着するまでの運送に要する運賃及び保険料は、航空機による運送方法以外の通常の運送方法による運賃及び保険料によるものとされている。,○×,○,"一定の貨物については、航空機で運送されたとき、輸入港に到着するまでの運賃や保険料を、航空機による運送方法以外の通常の運送方法（船舶、鉄道等）による運賃・保険料によって課税価格を計算する(関率4条の6第1項)。そして、時事に関する記事を掲載する一般的日刊新聞の掲載用のニュース写真はこの貨物に該当する(関率令1条の13第2項2号、関率通4の6-1)。
[参照　第1編（申告書の作成、通則、課税価格の決定）-第4章（課税価格の決定（例外））-3.特別ルール-（3）航空運賃特例]"
関税法等(課税価格の決定),56-13-5,B,輸入貨物が、その契約において船舶により運送されることとされていたもので、その製作の遅延により本邦への到着が遅延するおそれが生じたため、輸出者が航空運賃の全額を負担することにより航空機によって運送されたものであるときは、当該輸入貨物についての輸入港に到着するまでの運賃及び保険料は、当該貨物を運送するために当初手配された船舶による運送に係る運賃及び保険料の額によるものとされている。,○×,○,"一定の貨物については、航空機で運送されたとき、輸入港に到着するまでの運賃や保険料を、航空機による運送方法以外の通常の運送方法（船舶、鉄道等）による運賃・保険料によって課税価格を計算する(関率4条の6第1項)。そして、輸入貨物に係る契約において航空機による運送以外の運送方法により運送されることとされていた貨物で、当該貨物の製作の遅延その他その輸入者の責めに帰することができない理由により当該貨物の本邦への到着が遅延し又は遅延するおそれが生じたため、その輸入者以外の者が運送方法の変更に伴う費用を負担することにより航空機によって運送されたものはこの貨物に該当する(関率令1条の13第2項6号、関率通4の6-1)。
[参照　第1編（申告書の作成、通則、課税価格の決定）-第4章（課税価格の決定（例外））-3.特別ルール-（3）航空運賃特例]"
関税法等(外国為替及び外国貿易法),56-14-1,B,経済産業大臣の輸入割当てを受けるべきものとして公表された品目の貨物の輸入をしようとするときは、輸入貿易管理令第14条本文(特例)の規定の適用を受ける場合を除き、経済産業大臣の輸入の承認を受けなければならない。,○×,○,"経済産業大臣の輸入割当てを受けるべきものとして公表された品目（輸入割当品目）の貨物の輸入をしようとするときは、原則として、経済産業大臣の輸入の承認を受けなければならない(輸入令4条1項1号)。ただし、特例として、例外的にこの承認が不要な場合が定められている(輸入令14条本文)。なお、特例の例外もあり、我が国が締結した条約その他の国際約束を誠実に履行するため必要がある場合として経済産業大臣が定める場合は、やはり承認が必要となる(輸入令14条ただし書、経済産業省告示160号)。
[参照　第6編（外国為替及び外国貿易法）-3.輸入の規制-（1）輸入承認]"
関税法等(外国為替及び外国貿易法),56-14-2,B,税関長は、無償の貨物であって、経済産業大臣の指示する範囲内のものに係る輸入の承認に条件を付することができない。,○×,×,"無償の貨物であって、経済産業大臣の指示する範囲内のものについては、輸入の承認をする権限を、経済産業大臣から税関長へ委任できる(輸入令18条1号)。また、この貨物に係る輸入の承認に条件を付する権限も、経済産業大臣から税関長へ委任できる(外為法67条1項、輸入令18条3号)。
[参照　第6編（外国為替及び外国貿易法）-3.輸入の規制-（2）手続]"
関税法等(外国為替及び外国貿易法),56-14-3,B,税関長は、特に必要があると認めるときは、1月以内において、経済産業大臣の輸入の承認の有効期間を延長することができる。,○×,○,"輸入の承認の有効期間は、原則としてその承認をした日から6月である。しかし、経済産業大臣は、特に必要があると認めるときは、これと異なる有効期間を定め、又は輸入の承認の有効期間を延長することができる(輸入令5条1項、2項)。また、経済産業大臣の指示する範囲内において原則と異なる輸入の承認の有効期間を定め、又は1月以内において輸入の承認の有効期間を延長する権限については、経済産業大臣から税関長に委任される(輸入令18条2号)。したがって、本問は正しい。
[参照　第6編（外国為替及び外国貿易法）-3.輸入の規制-（2）手続]"
関税法等(外国為替及び外国貿易法),56-14-4,B,輸入承認証に係る貨物が当該輸入承認証の有効期間内に本邦に到着している場合においては、輸入申告の時に当該輸入承認証の有効期間が経過していたときであっても、当該貨物を輸入することができる。,○×,×,"輸入承認証の有効期間が満了する日までに貨物の輸入を行わなければならないとされているので(輸入規2条3項)、輸入申告時において有効期間が経過していれば、輸入することはできない。
[参照　第6編（外国為替及び外国貿易法）-3.輸入の規制-（2）手続]"
関税法等(外国為替及び外国貿易法),56-14-5,B,経済産業大臣は、輸入割当てに当たり、輸入に関する事項について条件を付することができない。,○×,×,"経済産業大臣は、輸入割当てに当たり、輸入の期間、貨物の原産地、船積地域等について条件を付すことができる(輸入令11条1項)。
[参照　第6編（外国為替及び外国貿易法）-3.輸入の規制-（1）輸入承認-②輸入承認を要する場合（原則）-ⅱ輸入割当品目（IQ品目）]"
関税法等(輸入してはならない貨物),56-15-1,A,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律第2条第15項(定義)に規定する指定薬物は、同法に規定する医療等の用途に供するために輸入するものを除き、輸入してはならない貨物に該当する。,○×,○,"医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律2条15項に規定する指定薬物は、同法で医療用等として輸入されるものを除き、輸入してはならない貨物である(関69条の11第1項1号の2)。
[参照　第2編（関税法）-第5章（輸出入してはならない貨物）-1.対象貨物と税関長の措置-（2）大麻、薬物のグループ（①、②）]"
関税法等(輸入してはならない貨物),56-15-2,A,税関長は、化学兵器の禁止及び特定物質の規制等に関する法律第2条第3項(定義等)に規定する特定物質に該当する貨物で輸入されようとするものを没収して廃棄することができない。,○×,×,"化学兵器の禁止及び特定物質の規制等に関する法律2条3項に規定する特定物質は、原則として輸入してはならない貨物であり(関69条の11第1項5号)、税関長は、これに当たる貨物で輸入されようとするものを没収して廃棄し、又は当該貨物を輸入しようとする者にその積戻しを命ずることができる(関69条の11第2項)。
[参照　第2編（関税法）-第5章（輸出入してはならない貨物）-1.対象貨物と税関長の措置-（7）税関長の措置]"
関税法等(輸入してはならない貨物),56-15-3,A,税関長は、輸入されようとする貨物のうちに著作権を侵害する物品に該当する貨物があると思料する場合であっても、認定手続を経た後でなければ、当該貨物を没収して廃棄することができない。,○×,○,"税関長は、認定手続を経た後でなければ、輸入されようとする貨物について、没収して廃棄することや積戻しを命ずることができない(関69条の12第5項、69条の11第2項)。
[参照　第2編（関税法）-第5章（輸出入してはならない貨物）-1.対象貨物と税関長の措置-（7）税関長の措置]"
関税法等(輸入してはならない貨物),56-15-4,A,輸入差止申立てが受理された実用新案権者は、その申立てに係る貨物について認定手続が執られている間であっても、税関長に対し、当該認定手続に係る疑義貨物について、当該実用新案権者がその見本の検査をすることを承認するよう申請することができない。,○×,×,"輸入差止申立てが受理された特許権者、実用新案権者、意匠権者、商標権者、著作権者、著作隣接権者若しくは育成者権者又は不正競争差止請求権者は、当該申立てに係る貨物について認定手続が執られている間に限り、税関長に対し、当該認定手続に係る疑義貨物について、これらの者がその見本の検査をすることを承認するよう申請することができる(関69条の16第1項)。
[参照　第2編（関税法）-第5章（輸出入してはならない貨物）-3.輸出入差止申立て-（5）差止申立てルート独自の規定-④見本の検査(輸入のみ)]"
関税法等(輸入してはならない貨物),56-15-5,A,税関長は、輸入されようとする貨物が商標権を侵害する物品に該当するか否かについての認定手続を執る場合には、当該貨物に係る商標権者及び当該貨物を輸入しようとする者に対し、当該貨物について認定手続を執る旨並びに当該貨物が商標権を侵害する物品に該当するか否かについてこれらの者が証拠を提出し、及び意見を述べることができる旨を通知しなければならない。,○×,○,"税関長は、輸入されようとする貨物のうちに商標権を侵害する貨物があると思料するときは、認定手続を執らなければならない。この場合において、税関長は、商標権者及び当該貨物を輸入しようとする者に対し、当該貨物について認定手続を執る旨と、当該貨物が商標権を侵害する貨物に該当するか否かについてこれらの者が証拠を提出し、意見を述べることができる旨等を通知しなければならない(関69条の12第1項)。
[参照　第2編（関税法）-第5章（輸出入してはならない貨物）-2.認定手続]"
関税法等(関税関係帳簿等),56-16-1,B,"（貨物を業として輸入する者が保存をしなければならないこととされている「関税関係書類」(関税法第94条第1項に規定するものをいい、同法第94条の2の規定により電磁的記録による保存をもって代える場合における当該電磁的記録を含む。)の意義に関しての問題である。）
貨物を業として輸入する者は、輸入申告を行って輸入の許可を受けた場合に、当該輸入申告に係る貨物の仕入書を税関長に提出したときは、当該仕入書の写しを関税関係書類として保存することを要しない。",○×,○,"貨物を業として輸入する者は、関税関係書類（契約書や仕入書等）を保存しなければならないが、輸入申告に際して税関に提出した書類については保存しなくてよい(関94条1項)。
[参照　第2編（関税法）-第7章（関税関係帳簿等）-1.関税関係帳簿等-（1）関税関係帳簿、関税関係書類、電子取引の取引情報に係る電磁的記録]"
関税法等(関税関係帳簿等),56-16-2,B,"（貨物を業として輸入する者が備付け及び保存をしなければならないこととされている「関税関係帳簿」(関税法第94条第1項に規定するものをいい、同法第94条の2の規定により電磁的記録による備付け及び保存をもって代える場合における当該電磁的記録を含む。)の意義に関しての問題である。）
輸入貨物に係る帳簿のうち、その貨物の輸入予定地を所轄する税関長の承認を受けることなく、自己が最初の記録段階から一貫して電子計算機を使用して作成し、電磁的記録により備付け及び保存をしているものは、関税関係帳簿に該当することはない。",○×,×,"貨物を業として輸入する者は、関税関係帳簿について、自己が最初の記録段階から一貫して電子計算機を使用して作成する場合には、当該関税関係帳簿に係る電磁的記録の備付け及び保存をもって当該関税関係帳簿の備付け及び保存に代えることができる(関94条の2第1項)。備付け、保存をするに当たり、令和3年法改正以前は税関長の承認を要件としていたが、本問が出題された令和4年以降は、税関長の承認が不要である。
[参照　第2編（関税法）-第7章（関税関係帳簿等）-1.関税関係帳簿等-（2）保存方法-①関税関係帳簿]"
関税法等(関税関係帳簿等),56-16-3,B,"（貨物を業として輸入する者が備付け及び保存をしなければならないこととされている「関税関係帳簿」及び「関税関係書類」(いずれも関税法第94条第1項に規定するものをいい、同法第94条の2の規定により電磁的記録による備付け及び保存をもって代える場合における当該電磁的記録を含む。)の意義に関しての問題である。）
関税関係帳簿に記載すべき事項の全部又は一部が輸入の許可書に記載されている場合は、当該全部又は一部の事項の関税関係帳簿への記載を省略することができることとされており、この省略したときの当該輸入の許可書は、関税関係書類とみなされる。",○×,○,"関税関係帳簿に記載すべき事項の全部又は一部が関税関係書類又は輸入の許可書に記載されている場合は、当該全部又は一部の事項の関税関係帳簿への記載を省略することができる。この場合において、当該輸入の許可書は、関税関係書類とみなす(関令83条5項)。
[参照　第2編（関税法）-第7章（関税関係帳簿等）-1.関税関係帳簿等-（1）関税関係帳簿、関税関係書類、電子取引の取引情報に係る電磁的記録]"
